"gamma","error","gamma","error","gamma","error"
0.01,0.309200320432646,0.01,0.309131284451968,0.01,0.30933397505466
0.125,0.106915586532027,0.125,0.158366198008947,0.125,0.221197372996762
0.236363636363636,0.0534606624230271,0.236363636363636,0.102522445555973,0.236363636363636,0.17505103161476
0.342105263157895,0.0354721292648642,0.342105263157895,0.0754592495551758,0.342105263157895,0.153315266835768
0.45,0.027383963830182,0.45,0.0677681729318505,0.45,0.142145440095761
0.563492063492063,0.0224196486818638,0.563492063492063,0.0604871163758821,0.563492063492063,0.130001311209733
0.676923076923077,0.0333307272419436,0.676923076923077,0.0734671594504031,0.676923076923077,0.139703746045538
0.786764705882353,0.0465054053018086,0.786764705882353,0.0967649009224922,0.786764705882353,0.173520668176284
0.894366197183099,0.103169482142532,0.894366197183099,0.16727969685509,0.894366197183099,0.235876665601861
1,0.266323388052488,1,0.307028681825883,1,0.352661671438395
1.02631578947368,0.178381750434963,1.02631578947368,0.205221248624746,1.02631578947368,0.29630362608851
1.24358974358974,0.0111254134170806,1.24358974358974,0.029894006741927,1.24358974358974,0.0871731234665056
1.46296296296296,0.00104244142750487,1.46296296296296,0.0054132671988537,1.46296296296296,0.0281609427482378
1.68452380952381,0.000136711206027848,1.68452380952381,0.000847802479094228,1.68452380952381,0.00883123173194543
1.90116279069767,2.19875011924222e-05,1.90116279069767,0.000164373466163561,1.90116279069767,0.00384299950476962
2.12359550561798,3.19060544432816e-06,2.12359550561798,3.13356129080355e-05,2.12359550561798,0.00134263570659193
2.34239130434783,3.33816981496771e-07,2.34239130434783,5.53603093604627e-06,2.34239130434783,0.000396258906747772
2.56382978723404,7.98018427578987e-08,2.56382978723404,9.49977030462622e-07,2.56382978723404,0.000163392807290561
2.78350515463918,1.55667387019702e-08,2.78350515463918,2.63641625145104e-07,2.78350515463918,5.65075404058046e-05
3,2.88436995558636e-09,3,3.71074285498441e-08,3,1.58209196386744e-05
