"gamma","error","gamma","error","gamma","error"
0.02,0.316934011072713,0.02,0.316934011072713,0.02,0.316934011072713
0.0701754385964912,0.194401381951521,0.0701754385964912,0.229355972259768,0.0701754385964912,0.261571564391258
0.107692307692308,0.133838141202187,0.107692307692308,0.177349838948663,0.107692307692308,0.222140288281375
0.164383561643836,0.0807484117816884,0.164383561643836,0.125223167728325,0.164383561643836,0.177642859207398
0.222222222222222,0.0490588619960677,0.222222222222222,0.088928976230296,0.222222222222222,0.142426362318983
0.269662921348315,0.0319779375690373,0.269662921348315,0.0663100626700818,0.269662921348315,0.117756653631727
0.319587628865979,0.0209619651503615,0.319587628865979,0.0496872920926337,0.319587628865979,0.0977069170918391
0.371428571428571,0.0140679706248901,0.371428571428571,0.0378665048977048,0.371428571428571,0.0819950513939715
0.424778761061947,0.00984304200098354,0.424778761061947,0.0297069915815815,0.424778761061947,0.0701339037589853
0.479338842975207,0.00731418025294884,0.479338842975207,0.0242886165320165,0.479338842975207,0.0616234759227506
0.53125,0.00603246497712289,0.53125,0.0213224019187986,0.53125,0.0567017887430277
0.580882352941177,0.00522485606380469,0.580882352941177,0.0193437439483853,0.580882352941177,0.0532677070129951
0.638888888888889,0.00513135621646551,0.638888888888889,0.019119071580738,0.638888888888889,0.0529156974487835
0.690789473684211,0.00555356277640102,0.690789473684211,0.0201819009963245,0.690789473684211,0.0548379241365048
0.7375,0.00653406636766426,0.7375,0.0225494605536074,0.7375,0.0589610960352735
0.791666666666667,0.00941729207070695,0.791666666666667,0.0289590893310647,0.791666666666667,0.0694698725381564
0.846590909090909,0.0164008995403603,0.846590909090909,0.0424085808430037,0.846590909090909,0.0893315284391553
0.896739130434783,0.032607232870041,0.896739130434783,0.0682722551794659,0.896739130434783,0.122634292638159
0.947916666666667,0.0844239988547243,0.947916666666667,0.133265739923261,0.947916666666667,0.19290373629864
1,0.5,1,0.5,1,0.5
