"gamma","error","gamma","error","gamma","error"
0.02,0.316934011072713,0.02,0.316934011072713,0.02,0.316934011072713
0.0701754385964912,0.209084750311511,0.0701754385964912,0.255551787627323,0.0701754385964912,0.286884171929716
0.107692307692308,0.172944719824698,0.107692307692308,0.245183294917175,0.107692307692308,0.28783975124828
0.164383561643836,0.150410502601069,0.164383561643836,0.246075598653037,0.164383561643836,0.296921596329917
0.222222222222222,0.142426362318983,0.222222222222222,0.253333789817795,0.222222222222222,0.308265305594214
0.269662921348315,0.14110900358902,0.269662921348315,0.261150900480794,0.269662921348315,0.317831054678106
0.319587628865979,0.143713198618569,0.319587628865979,0.270589858969953,0.319587628865979,0.327941360480171
0.371428571428571,0.149414990298037,0.371428571428571,0.281168562988588,0.371428571428571,0.338326084623704
0.424778761061947,0.157730382246814,0.424778761061947,0.292601387737328,0.424778761061947,0.348845526320975
0.479338842975207,0.168411668122064,0.479338842975207,0.304730783828019,0.479338842975207,0.359441599435773
0.53125,0.180533536261146,0.53125,0.31665633582086,0.53125,0.369420780687147
0.580882352941177,0.193676990067223,0.580882352941177,0.3283709389089,0.580882352941177,0.378907694797093
0.638888888888889,0.211463349745455,0.638888888888889,0.342607826842813,0.638888888888889,0.390053878320739
0.690789473684211,0.229631403551909,0.690789473684211,0.355917903758629,0.690789473684211,0.400178116097477
0.7375,0.248158244756787,0.7375,0.368516957003779,0.7375,0.409536828608109
0.791666666666667,0.272990892322654,0.791666666666667,0.384171996267123,0.791666666666667,0.42089875134257
0.846590909090909,0.302974422386499,0.846590909090909,0.401720521204941,0.846590909090909,0.433352229187616
0.896739130434783,0.336715570595012,0.896739130434783,0.420182043822192,0.896739130434783,0.446196321778227
0.947916666666667,0.382882608941234,0.947916666666667,0.443890856557026,0.947916666666667,0.462395184952107
1,0.5,1,0.5,1,0.5
