"gamma","error","gamma","error","gamma","error"
0.02,0.414723794496789,0.02,0.316934011072713,0.02,0.163494674799008
0.0701754385964912,0.335040731717461,0.0701754385964912,0.175636596235344,0.0701754385964912,0.0279476848104512
0.107692307692308,0.28783975124828,0.107692307692308,0.112592848900282,0.107692307692308,0.0065649783844625
0.164383561643836,0.236696527030854,0.164383561643836,0.0615817529378291,0.164383561643836,0.000830043028105007
0.222222222222222,0.196333034104883,0.222222222222222,0.0339041412928675,0.222222222222222,0.000100096657689492
0.269662921348315,0.16761720689798,0.269662921348315,0.020289039721794,0.269662921348315,1.56818407221295e-05
0.319587628865979,0.143713198618569,0.319587628865979,0.0122113860138273,0.319587628865979,2.44799515866437e-06
0.371428571428571,0.124443048990399,0.371428571428571,0.00755468613788937,0.371428571428571,4.15845259475579e-07
0.424778761061947,0.109445425085058,0.424778761061947,0.00491163725375962,0.424778761061947,8.407746075622e-08
0.479338842975207,0.0983323810767147,0.479338842975207,0.00343241448757161,0.479338842975207,2.21572259790767e-08
0.53125,0.0916394905487059,0.53125,0.00271964239139792,0.53125,9.33634232058308e-09
0.580882352941177,0.086800887835357,0.580882352941177,0.00228642408577939,0.580882352941177,4.93012242402947e-09
0.638888888888889,0.0858091561179436,0.638888888888889,0.00223648768466242,0.638888888888889,4.62431809320075e-09
0.690789473684211,0.0877139222157726,0.690789473684211,0.00245994333337532,0.690789473684211,6.76077631673321e-09
0.7375,0.0923158013864503,0.7375,0.00299239240697471,0.7375,1.44306447695098e-08
0.791666666666667,0.10429525434394,0.791666666666667,0.00464557259063187,0.791666666666667,7.67654680067524e-08
0.846590909090909,0.126236233675055,0.846590909090909,0.00904454782948675,0.846590909090909,9.32747769473226e-07
0.896739130434783,0.161137984777251,0.896739130434783,0.0205864679518831,0.896739130434783,1.92296808167918e-05
0.947916666666667,0.229798693091971,0.947916666666667,0.0638013945907335,0.947916666666667,0.0010672912908236
1,0.5,1,0.5,1,0.5
